craft_type,region,data_points,train_points,test_points,effective_test_points,arima_metrics,prophet_metrics,hybrid_metrics,arima_improvement,prophet_improvement,hybrid_improvement,arima_params,prophet_regressors,bias_correction,final_weights,adaptive_window,start_date,end_date,date_range_years
Stone_carving,Ladakh,1566,1252,314,300,"{'mae': 7.601360214083267, 'rmse': np.float64(8.785005950491666), 'mape': np.float64(8.513274716423167), 'r2': -0.03326651926286184, 'accuracy': np.float64(91.48672528357683)}","{'mae': 7.810841330712618, 'rmse': np.float64(9.393085751761525), 'mape': np.float64(8.678078869515181), 'r2': -0.18125813264069013, 'accuracy': np.float64(91.32192113048482)}","{'mae': 4.0426738971710074, 'rmse': np.float64(5.2448743492179135), 'mape': np.float64(4.554865796666341), 'r2': 0.6317028027370677, 'accuracy': np.float64(95.44513420333365)}",3.9584089197568204,4.123213072848827,3.9584089197568204,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4966152617239947), 'Enhanced_Prophet': np.float64(0.5033847382760052)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Madhya_Pradesh,1566,1252,314,300,"{'mae': 7.860091532578408, 'rmse': np.float64(9.052852260617017), 'mape': np.float64(8.753118339410703), 'r2': -0.07641827641813226, 'accuracy': np.float64(91.2468816605893)}","{'mae': 8.001425994409617, 'rmse': np.float64(9.782227532618668), 'mape': np.float64(8.938372468838947), 'r2': -0.25685656404610735, 'accuracy': np.float64(91.06162753116105)}","{'mae': 3.7658293660268614, 'rmse': np.float64(5.090537106676606), 'mape': np.float64(4.238396226653101), 'r2': 0.6596408642229152, 'accuracy': np.float64(95.7616037733469)}",4.51472211275761,4.699976242185855,4.51472211275761,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4736656572255945), 'Enhanced_Prophet': np.float64(0.5263343427744055)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Maharashtra,1566,1252,314,300,"{'mae': 6.253796661129719, 'rmse': np.float64(7.014605957989537), 'mape': np.float64(6.700039987691361), 'r2': -0.14102992267029335, 'accuracy': np.float64(93.29996001230865)}","{'mae': 7.609818922039915, 'rmse': np.float64(8.965529612761388), 'mape': np.float64(8.065101222240873), 'r2': -0.8639848267186598, 'accuracy': np.float64(91.93489877775913)}","{'mae': 2.945203969411031, 'rmse': np.float64(4.237575316668735), 'mape': np.float64(3.2369232685557017), 'r2': 0.5835859882121288, 'accuracy': np.float64(96.7630767314443)}",3.4631167191356553,4.82817795368517,3.4631167191356553,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4704368790649699), 'Enhanced_Prophet': np.float64(0.5295631209350301)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Manipur,1566,1252,314,303,"{'mae': 7.422580262762699, 'rmse': np.float64(8.54221975522267), 'mape': np.float64(8.25174328440859), 'r2': -0.047449804382784455, 'accuracy': np.float64(91.74825671559141)}","{'mae': 7.93340322283833, 'rmse': np.float64(9.499462863720176), 'mape': np.float64(8.747167962814743), 'r2': -0.29535808166302346, 'accuracy': np.float64(91.25283203718526)}","{'mae': 3.9882875418806036, 'rmse': np.float64(5.358873253184385), 'mape': np.float64(4.4993479425882885), 'r2': 0.5877708383943643, 'accuracy': np.float64(95.50065205741171)}",3.7523953418203035,4.247820020226456,3.7523953418203035,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.47195871384311777), 'Enhanced_Prophet': np.float64(0.5280412861568823)}",11,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Meghalaya,1566,1252,314,300,"{'mae': 8.039395985883324, 'rmse': np.float64(9.544381549381095), 'mape': np.float64(9.283125505579951), 'r2': -6.034641241581262e-05, 'accuracy': np.float64(90.71687449442005)}","{'mae': 7.834408435901462, 'rmse': np.float64(9.51965208301338), 'mape': np.float64(8.931829930443165), 'r2': 0.005115247134737211, 'accuracy': np.float64(91.06817006955683)}","{'mae': 4.191277864307154, 'rmse': np.float64(5.411628758766672), 'mape': np.float64(4.788232519559974), 'r2': 0.6784958268808292, 'accuracy': np.float64(95.21176748044003)}",4.494892986019977,4.143597410883203,4.143597410883203,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4767596378883463), 'Enhanced_Prophet': np.float64(0.5232403621116537)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Mizoram,1566,1252,314,300,"{'mae': 7.381584293962251, 'rmse': np.float64(8.675751038349382), 'mape': np.float64(8.271760472720922), 'r2': -0.03743727103133865, 'accuracy': np.float64(91.72823952727907)}","{'mae': 6.807315269868, 'rmse': np.float64(8.268610536156551), 'mape': np.float64(7.4611853242310175), 'r2': 0.057648865728854415, 'accuracy': np.float64(92.53881467576898)}","{'mae': 3.8971365375919147, 'rmse': np.float64(5.092163643017257), 'mape': np.float64(4.386184320770329), 'r2': 0.6426017774941161, 'accuracy': np.float64(95.61381567922967)}",3.885576151950602,3.0750010034606987,3.0750010034606987,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4701503811168304), 'Enhanced_Prophet': np.float64(0.5298496188831696)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Nagaland,1566,1252,314,303,"{'mae': 8.207706427094765, 'rmse': np.float64(9.371428204827158), 'mape': np.float64(9.22835340522859), 'r2': -0.04218461443925947, 'accuracy': np.float64(90.77164659477141)}","{'mae': 7.189683223192867, 'rmse': np.float64(8.889132735431534), 'mape': np.float64(8.104702538481433), 'r2': 0.06232599718061482, 'accuracy': np.float64(91.89529746151857)}","{'mae': 4.105880485078545, 'rmse': np.float64(5.465101261820817), 'mape': np.float64(4.684667811470978), 'r2': 0.6455707796766279, 'accuracy': np.float64(95.31533218852903)}",4.5436855937576155,3.42003472701046,3.42003472701046,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.47648560091651454), 'Enhanced_Prophet': np.float64(0.5235143990834854)}",11,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Odisha,1566,1252,314,303,"{'mae': 7.994788592058624, 'rmse': np.float64(9.199605675563815), 'mape': np.float64(9.02863991552158), 'r2': -0.02313746639057035, 'accuracy': np.float64(90.97136008447842)}","{'mae': 8.104628216182686, 'rmse': np.float64(9.815031464133622), 'mape': np.float64(9.2068432922669), 'r2': -0.16460581903735405, 'accuracy': np.float64(90.7931567077331)}","{'mae': 4.490944784429489, 'rmse': np.float64(5.758593180754922), 'mape': np.float64(5.099492540259754), 'r2': 0.5991071037635798, 'accuracy': np.float64(94.90050745974024)}",3.9291473752618202,4.107350752007136,3.9291473752618202,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.48092799161670735), 'Enhanced_Prophet': np.float64(0.5190720083832926)}",11,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Puducherry,1566,1252,314,300,"{'mae': 7.800012292037736, 'rmse': np.float64(8.980750103058018), 'mape': np.float64(8.727475252878575), 'r2': -0.03622354476673273, 'accuracy': np.float64(91.27252474712142)}","{'mae': 7.9909506197460765, 'rmse': np.float64(9.467043162020756), 'mape': np.float64(8.93786107680513), 'r2': -0.15148145098888066, 'accuracy': np.float64(91.06213892319487)}","{'mae': 4.170615652970264, 'rmse': np.float64(5.389143738619567), 'mape': np.float64(4.705817992801376), 'r2': 0.6268634717089333, 'accuracy': np.float64(95.29418200719863)}",4.021657260077205,4.232043084003763,4.021657260077205,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4643568412118764), 'Enhanced_Prophet': np.float64(0.5356431587881236)}",14,1995-01-01,2024-12-29,29.99315537303217
Stone_carving,Punjab,1566,1252,314,303,"{'mae': 7.548320033188114, 'rmse': np.float64(8.954269812517776), 'mape': np.float64(8.629983952404844), 'r2': -0.00011888490694533793, 'accuracy': np.float64(91.37001604759516)}","{'mae': 8.512118703161404, 'rmse': np.float64(10.275548345838684), 'mape': np.float64(9.606295406499559), 'r2': -0.3170470465621531, 'accuracy': np.float64(90.39370459350044)}","{'mae': 4.452074883268126, 'rmse': np.float64(5.715149233867627), 'mape': np.float64(5.049310853570777), 'r2': 0.5925761716698912, 'accuracy': np.float64(94.95068914642923)}",3.580673098834069,4.556984552928782,3.580673098834069,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4659562551235521), 'Enhanced_Prophet': np.float64(0.5340437448764479)}",11,1995-01-01,2024-12-29,29.99315537303217
